# dimension = 3
# x | y | z ... | value 
0	0	0	48
1	0	0	48
2	0	0	31
3	0	0	42
4	0	0	55
0	1	0	20
1	1	0	20
2	1	0	94
3	1	0	45
4	1	0	6
0	2	0	73
1	2	0	46
2	2	0	79
3	2	0	7
4	2	0	41
0	3	0	96
1	3	0	39
2	3	0	70
3	3	0	80
4	3	0	70
0	4	0	69
1	4	0	67
2	4	0	89
3	4	0	91
4	4	0	4
0	0	1	10
1	0	1	88
2	0	1	13
3	0	1	24
4	0	1	37
0	1	1	20
1	1	1	72
2	1	1	86
3	1	1	52
4	1	1	16
0	2	1	42
1	2	1	73
2	2	1	36
3	2	1	37
4	2	1	19
0	3	1	43
1	3	1	12
2	3	1	66
3	3	1	23
4	3	1	19
0	4	1	9
1	4	1	21
2	4	1	59
3	4	1	79
4	4	1	3
0	0	2	31
1	0	2	49
2	0	2	71
3	0	2	21
4	0	2	42
0	1	2	75
1	1	2	31
2	1	2	32
3	1	2	89
4	1	2	56
0	2	2	69
1	2	2	11
2	2	2	30
3	2	2	57
4	2	2	64
0	3	2	46
1	3	2	0
2	3	2	38
3	3	2	83
4	3	2	38
0	4	2	58
1	4	2	27
2	4	2	50
3	4	2	25
4	4	2	51
0	0	3	70
1	0	3	34
2	0	3	72
3	0	3	31
4	0	3	14
0	1	3	75
1	1	3	62
2	1	3	64
3	1	3	48
4	1	3	84
0	2	3	8
1	2	3	24
2	2	3	16
3	2	3	40
4	2	3	14
0	3	3	73
1	3	3	11
2	3	3	25
3	3	3	4
4	3	3	68
0	4	3	89
1	4	3	50
2	4	3	69
3	4	3	29
4	4	3	34
0	0	4	8
1	0	4	87
2	0	4	62
3	0	4	59
4	0	4	14
0	1	4	14
1	1	4	31
2	1	4	48
3	1	4	86
4	1	4	62
0	2	4	63
1	2	4	63
2	2	4	25
3	2	4	29
4	2	4	12
0	3	4	10
1	3	4	38
2	3	4	37
3	3	4	27
4	3	4	78
0	4	4	51
1	4	4	1
2	4	4	90
3	4	4	77
4	4	4	5
